,att_1_Eliminate2050_MM,att_1_Eliminate2070_MM,att_1_Reduce2030_MM,att_2_EnergyAccess_MM,att_2_InsureWorkers_MM,att_2_LowPrices_MM,att_2_NothingSoc_MM,att_3_IdentityCoalRegions_MM,att_3_IndustryCoalRegions_MM,att_3_NothingEco_MM,att_3_WorkersCoalRegion_MM,att_4_Gov&Businesses_MM,att_4_Gov&CivilSociety_MM,att_4_Gov&LaborUnions_MM,att_4_Gov&LocalGov_MM,att_4_Gov&Researchers_MM,att_4_GovAlone_MM,att_5_Fin&TechSupport_MM,att_5_FinSupportOnly_MM,att_5_NoInterference_MM,att_5_TechSupportOnly_MM
0,0.6922,0.6289,0.7098,0.6912,0.7011,0.6996,0.6153,0.6754,0.6982,0.6317,0.7012,0.6696,0.6799,0.689,0.7,0.6863,0.6371,0.7338,0.6597,0.6472,0.666
1,0.0086,0.0094,0.0092,0.0091,0.0091,0.0091,0.0097,0.0092,0.0092,0.0102,0.0093,0.0106,0.0106,0.0107,0.0109,0.0106,0.0114,0.0094,0.0096,0.0102,0.0095
2,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0,1135.0
