,att_1_Eliminate2050_MM,att_1_Eliminate2070_MM,att_1_Reduce2030_MM,att_2_EnergyAccess_MM,att_2_InsureWorkers_MM,att_2_LowPrices_MM,att_2_NothingSoc_MM,att_3_IdentityCoalRegions_MM,att_3_IndustryCoalRegions_MM,att_3_NothingEco_MM,att_3_WorkersCoalRegion_MM,att_4_Gov&Businesses_MM,att_4_Gov&CivilSociety_MM,att_4_Gov&LaborUnions_MM,att_4_Gov&LocalGov_MM,att_4_Gov&Researchers_MM,att_4_GovAlone_MM,att_5_Fin&TechSupport_MM,att_5_FinSupportOnly_MM,att_5_NoInterference_MM,att_5_TechSupportOnly_MM
0,0.7101,0.6469,0.725,0.7008,0.7206,0.7156,0.6394,0.6925,0.7127,0.6516,0.7197,0.6841,0.7105,0.69,0.7086,0.706,0.6672,0.7518,0.6859,0.6603,0.6786
1,0.0066,0.0071,0.0066,0.0078,0.0076,0.0076,0.0082,0.0078,0.0076,0.0081,0.0077,0.0095,0.0095,0.0097,0.0094,0.0096,0.0097,0.0073,0.0079,0.0081,0.0079
